"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"61","PA",61,"Drexel University","$51,030 ","14,138","Philadelphia","19104","www.drexel.edu",39.955217,-75.190051,"0.7465","Private nonprofit","City","1204",67821,0,1,1,1,1,1,1,1,1,1,1,1,"$51,030 ","14,138",62900,314.1,34,49.98
"62","MO",62,"Saint Louis University","$40,726 ","8,248","Saint Louis","63103-2097","www.slu.edu",38.636801,-90.2351,"0.6474","Private nonprofit","City","1259",54698,0,1,0,1,1,1,1,1,1,1,2,1,"$40,726 ","8,248",53700,442.9,42,44.58
"63","AL",63,"Auburn University","$28,840 ","21,786","Auburn","36849","www.auburn.edu",32.599378,-85.488258,"0.8054","Public","City","1217",29794,1,1,1,1,1,1,1,1,1,1,1,1,"$28,840 ","21,786",46800,427.4,50,34.15
"64","IL",64,"Loyola University Chicago","$41,384 ","11,079","Chicago","60660","www.luc.edu",42.000765,-87.656872,"0.7257","Private nonprofit","City","1195",54324,0,1,0,2,1,1,1,1,2,1,2,1,"$41,384 ","11,079",51800,370,25,52.6
"65","NY",65,"SUNY College of Environmental Science and Forestry","$17,620 ","1,839","Syracuse","13210","www.esf.edu",43.034765,-76.138724,"0.5421","Public","City","1157",24430,0,1,1,0,0,1,1,0,0,0,1,0,"$17,620 ","1,839",42100,381.8,26,52.54
"66","IL",66,"Illinois Institute of Technology","$45,214 ","2,991","Chicago","60616","web.iit.edu/",41.8313,-87.627321,"0.571","Private nonprofit","City","1275",57277,0,0,1,1,0,1,1,1,1,1,1,0,"$45,214 ","2,991",66500,370,25,52.6
"67","OR",67,"University of Oregon","$33,442 ","20,538","Eugene","97403","www.uoregon.edu",44.045146,-123.075792,"0.7787","Public","City","1111",24209,0,1,1,1,1,0,1,1,1,1,1,1,"$33,442 ","20,538",42300,232.3,32,51.4
"68","NY",68,"Rochester Institute of Technology","$38,568 ","12,607","Rochester","14623-5603","www.rit.edu/",43.084188,-77.67386,"0.5493","Private nonprofit","Suburb","1254",50713,0,1,0,1,0,1,1,1,1,1,1,0,"$38,568 ","12,607",56100,381.8,26,52.54
"69","CA",69,"University of San Francisco","$44,494 ","6,782","San Francisco","94117-1080","https://www.usfca.edu",37.775564,-122.450977,"0.7137","Private nonprofit","City","1150",61072,0,1,1,1,0,0,1,1,1,1,1,1,"$44,494 ","6,782",62200,396.1,10,59.96
"70","IA",70,"Iowa State University","$21,483 ","30,034","Ames","50011-2103","www.iastate.edu",42.026212,-93.648504,"0.8749","Public","City","1144",19182,1,1,1,1,1,1,1,1,1,1,1,1,"$21,483 ","30,034",47600,273.5,7,60.92
"71","OH",71,"University of Dayton","$40,940 ","8,665","Dayton","45469","https://www.udayton.edu",39.739547,-84.176113,"0.6035","Private nonprofit","City","1185",53530,0,1,0,1,1,1,1,1,1,1,1,1,"$40,940 ","8,665",50200,284.9,39,46.04
"72","CA",72,"University of the Pacific","$44,588 ","3,735","Stockton","95211-0197","www.pacific.edu",37.981424,-121.312301,"0.6599","Private nonprofit","City","1180",56899,0,1,0,1,1,1,1,1,1,1,1,1,"$44,588 ","3,735",74300,396.1,10,59.96
"73","UT",73,"University of Utah","$27,039 ","23,794","Salt Lake City","84112-9008","www.utah.edu",40.762484,-111.846044,"0.7642","Public","City","1116",18444,0,1,1,1,1,1,1,1,1,1,1,1,"$27,039 ","23,794",51800,215.6,1,71.02
"74","MI",74,"Michigan Technological University","$30,968 ","5,721","Houghton","49931-1295","www.mtu.edu",47.11866,-88.548092,"0.7644","Public","Town","1242",26587,0,1,0,1,0,1,1,1,1,1,1,1,"$30,968 ","5,721",56800,427.3,43,44.17
"75","NJ",75,"Seton Hall University","$39,258 ","6,090","South Orange","07079-2697","www.shu.edu/",40.742336,-74.246027,"0.669","Private nonprofit","Suburb","1156",51395,0,1,0,1,1,0,1,1,1,1,2,1,"$39,258 ","6,090",53400,261.2,20,56.82
"76","PA",76,"Temple University","$25,994 ","28,609","Philadelphia","19122-6096","www.temple.edu",39.980546,-75.156859,"0.5219","Public","City","NULL",30166,1,1,1,1,1,1,1,1,1,1,2,1,"$25,994 ","28,609",49700,314.1,34,49.98
"77","KS",77,"University of Kansas","$25,932 ","19,245","Lawrence","66045","www.ku.edu",38.958549,-95.247567,"0.9301","Public","City","1185",23687,0,1,1,1,1,1,1,1,2,1,1,1,"$25,932 ","19,245",48900,348.6,24,54.55
"78","IL",78,"DePaul University","$37,626 ","15,961","Chicago","60604","https://www.depaul.edu",41.877618,-87.62724,"0.6975","Private nonprofit","City","NULL",50997,0,1,1,2,1,0,1,1,1,1,1,1,"$37,626 ","15,961",49700,370,25,52.6
"79","PA",79,"Duquesne University","$35,062 ","5,961","Pittsburgh","15282","www.duq.edu",40.43589,-79.993123,"0.7394","Private nonprofit","City","1165",48219,0,1,0,2,1,0,1,1,1,1,2,1,"$35,062 ","5,961",60300,314.1,34,49.98
