"","Name","Rank","Tuition.and.fees","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"86","Indiana University-Bloomington",86,"$34,246 ","Bloomington","IN","47405-7000","www.iub.edu","39.16609","-86.526559","0.7872",1,"13","1200",24432,"0","1","0","1","1","0","1","1","1","1","2","1"
"87","Florida State University",87,"$24,673 ","Tallahassee","FL","32306-1037","www.fsu.edu","30.440756","-84.291921","0.5801",1,"12","1214",21938,"0","1","0","1","1","1","1","1","1","1","1","1"
"88","University of Vermont",88,"$40,364 ","Burlington","VT","05405-0160","www.uvm.edu","44.477325","-73.196646","0.6894",1,"13","1216",30573,"1","2","0","1","1","1","1","1","1","1","1","1"
"89","North Carolina State University at Raleigh",89,"$26,399 ","Raleigh","NC","27695-7001","www.ncsu.edu","35.785111","-78.674517","0.4751",1,"11","1273",22226,"1","1","1","1","1","1","1","1","1","1","1","1"
"90","University of Colorado Boulder",90,"$35,079 ","Boulder","CO","80309-0017","www.colorado.edu","40.008781","-105.270823","0.7662",1,"12","1229",31393,"0","1","1","1","1","1","1","1","1","1","1","1"
"91","Drexel University",91,"$51,030 ","Philadelphia","PA","19104","www.drexel.edu","39.955217","-75.190051","0.7465",2,"11","1204",67821,"0","1","1","1","1","1","1","1","1","1","1","1"
"92","Saint Louis University",92,"$40,726 ","Saint Louis","MO","63103-2097","www.slu.edu","38.636801","-90.2351","0.6474",2,"11","1259",54698,"0","1","0","1","1","1","1","1","1","1","2","1"
"93","Auburn University",93,"$28,840 ","Auburn","AL","36849","www.auburn.edu","32.599378","-85.488258","0.8054",1,"13","1217",29794,"1","1","1","1","1","1","1","1","1","1","1","1"
"94","Loyola University Chicago",94,"$41,384 ","Chicago","IL","60660","www.luc.edu","42.000765","-87.656872","0.7257",2,"11","1195",54324,"0","1","0","2","1","1","1","1","2","1","2","1"
"95","SUNY College of Environmental Science and Forestry",95,"$17,620 ","Syracuse","NY","13210","www.esf.edu","43.034765","-76.138724","0.5421",1,"12","1157",24430,"0","1","1","0","0","1","1","0","0","0","1","0"
"96","Illinois Institute of Technology",96,"$45,214 ","Chicago","IL","60616","web.iit.edu/","41.8313","-87.627321","0.571",2,"11","1275",57277,"0","0","1","1","0","1","1","1","1","1","1","0"
"97","University of Oregon",97,"$33,442 ","Eugene","OR","97403","www.uoregon.edu","44.045146","-123.075792","0.7787",1,"12","1111",24209,"0","1","1","1","1","0","1","1","1","1","1","1"
"98","University of Alabama at Birmingham",98,"$26,950 ","Birmingham","AL","35294-0110","www.uab.edu","33.505697","-86.799345","0.5814",1,"12","1125",22684,"0","0","0","1","1","1","1","1","1","1","2","1"
"99","The University of Tennessee-Chattanooga",99,"$30,858 ","Chattanooga","TN","37403-2598","www.utc.edu","35.048247","-85.299812","0.7826",1,"12","1088",21495,"0","1","0","1","1","1","1","1","1","1","1","1"
"100","Rochester Institute of Technology",100,"$38,568 ","Rochester","NY","14623-5603","www.rit.edu/","43.084188","-77.67386","0.5493",2,"21","1254",50713,"0","1","0","1","0","1","1","1","1","1","1","0"
"101","University of San Francisco",101,"$44,494 ","San Francisco","CA","94117-1080","https://www.usfca.edu","37.775564","-122.450977","0.7137",2,"11","1150",61072,"0","1","1","1","0","0","1","1","1","1","1","1"
"102","University of New Hampshire-School of Law",102,"$31,424 ","Concord","NH","03301-4197","https://law.unh.edu","43.207371","-71.545152","NULL",1,"31","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"103","University of North Carolina at Asheville",103,"$31,282 ","Asheville","NC","28804-8510","https://www.unca.edu","35.617068","-82.565392","0.7593",1,"13","1155",18424,"0","1","0","1","0","1","1","1","1","1","1","1"
"104","Iowa State University",104,"$21,483 ","Ames","IA","50011-2103","www.iastate.edu","42.026212","-93.648504","0.8749",1,"13","1144",19182,"1","1","1","1","1","1","1","1","1","1","1","1"
"105","University of Dayton",105,"$40,940 ","Dayton","OH","45469","https://www.udayton.edu","39.739547","-84.176113","0.6035",2,"12","1185",53530,"0","1","0","1","1","1","1","1","1","1","1","1"
"106","University of the Pacific",106,"$44,588 ","Stockton","CA","95211-0197","www.pacific.edu","37.981424","-121.312301","0.6599",2,"11","1180",56899,"0","1","0","1","1","1","1","1","1","1","1","1"
"107","University of Utah",107,"$27,039 ","Salt Lake City","UT","84112-9008","www.utah.edu","40.762484","-111.846044","0.7642",1,"12","1116",18444,"0","1","1","1","1","1","1","1","1","1","1","1"
"108","University of Mississippi",108,"$25,892 ","University","MS","38677-1848","www.olemiss.edu","34.365529","-89.537434","0.783",1,"33","1155",23372,"0","0","0","1","2","1","1","1","1","1","1","1"
"109","University of Nebraska-Lincoln",109,"$23,148 ","Lincoln","NE","68588","www.unl.edu/","40.817598","-96.700508","0.7527",1,"11","1144",22535,"2","1","1","1","1","1","1","1","1","1","1","1"
"110","University of Oklahoma-Health Sciences Center",110,"$21,451 ","Oklahoma City","OK","73117-1221","ouhsc.edu","35.47928","-97.496289","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"111","Michigan Technological University",111,"$30,968 ","Houghton","MI","49931-1295","www.mtu.edu","47.11866","-88.548092","0.7644",1,"33","1242",26587,"0","1","0","1","0","1","1","1","1","1","1","1"
"112","Seton Hall University",112,"$39,258 ","South Orange","NJ","07079-2697","www.shu.edu/","40.742336","-74.246027","0.669",2,"21","1156",51395,"0","1","0","1","1","0","1","1","1","1","2","1"
"113","Temple University",113,"$25,994 ","Philadelphia","PA","19122-6096","www.temple.edu","39.980546","-75.156859","0.5219",1,"11","NULL",30166,"1","1","1","1","1","1","1","1","1","1","2","1"
"114","University of Kansas",114,"$25,932 ","Lawrence","KS","66045","www.ku.edu","38.958549","-95.247567","0.9301",1,"13","1185",23687,"0","1","1","1","1","1","1","1","2","1","1","1"
"115","University of California-Riverside",115,"$40,263 ","Riverside","CA","92521","WWW.UCR.EDU","33.97246","-117.32741","0.6634",1,"11","1078",31494,"0","1","0","1","0","1","1","1","1","1","1","1"
"116","University of St Thomas",116,"$39,594 ","Saint Paul","MN","55105-1078","www.stthomas.edu","44.943439","-93.188986","0.8266",2,"11","1204",50515,"0","1","0","1","1","1","1","1","1","1","1","1"
"117","University of St Thomas",116,"$39,594 ","Houston","TX","77006-4696","www.stthom.edu","29.736438","-95.393102","0.7739",2,"11","1085",41141,"0","1","0","1","0","0","1","1","1","1","1","1"
"118","DePaul University",117,"$37,626 ","Chicago","IL","60604","https://www.depaul.edu","41.877618","-87.62724","0.6975",2,"11","NULL",50997,"0","1","1","2","1","0","1","1","1","1","1","1"
"119","Duquesne University",118,"$35,062 ","Pittsburgh","PA","15282","www.duq.edu","40.43589","-79.993123","0.7394",2,"11","1165",48219,"0","1","0","2","1","0","1","1","1","1","2","1"
"120","Howard University",119,"$24,908 ","Washington","DC","20059-0001","www.howard.edu","38.922392","-77.018966","0.3",2,"11","1142",43116,"0","0","1","1","1","1","1","1","1","1","1","1"
"121","University of Arizona",120,"$30,025 ","Tucson","AZ","85721-0066","www.arizona.edu","32.232672","-110.950815","0.7862",1,"11","NULL",24633,"1","1","2","2","2","1","1","1","2","1","2","2"
"122","Catholic University of America",121,"$42,536 ","Washington","DC","20064","https://www.catholic.edu","38.933651","-76.997909","0.7955",2,"11","NULL",57561,"0","0","1","1","1","1","1","1","1","1","1","1"
"123","Clarkson University",122,"$46,132 ","Potsdam","NY","13699","www.clarkson.edu","44.662716","-74.999359","0.6821",2,"33","1190",61992,"0","1","0","1","0","1","1","1","1","1","1","1"
"124","Arizona State University-Tempe",123,"$25,458 ","Tempe","AZ","85287","www.asu.edu/","33.417721","-111.934383","0.825",1,"12","1147",23931,"0","1","1","1","1","1","1","1","1","1","1","1"
"125","Colorado State University-Fort Collins",124,"$28,374 ","Fort Collins","CO","80523-0100","www.colostate.edu","40.574805","-105.080732","0.7796",1,"12","1159",24885,"2","1","1","1","1","1","1","1","2","2","1","1"
"126","Imagine-Paul Mitchell Partner School",125,"$45,535 ","North Little Rock","AR","72117","paulmitchell.edu/littlerock","34.789913","-92.222202","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"127","Hofstra University",126,"$42,160 ","Hempstead","NY","11549","www.hofstra.edu","40.715959","-73.60078","0.6222",2,"21","1177",55322,"0","1","0","1","1","1","1","1","1","1","1","1"
"128","University of Kentucky",127,"$26,334 ","Lexington","KY","40506-0032","www.uky.edu","38.038911","-84.504747","0.9079",1,"11","1159",26143,"1","1","1","1","1","1","1","1","1","1","1","1"
"129","Kansas State University",128,"$23,429 ","Manhattan","KS","66506","www.k-state.edu","39.188648","-96.581077","0.9407",1,"13","NULL",21989,"1","1","1","1","1","1","1","1","1","1","2","1"
"130","Mercer University",129,"$35,130 ","Macon","GA","31207","www.mercer.edu","32.831787","-83.648295","0.6935",2,"12","1211",48766,"0","1","0","1","1","1","1","1","2","1","1","1"
"131","New Jersey Institute of Technology",130,"$30,326 ","Newark","NJ","07102","www.njit.edu/","40.741997","-74.177113","0.593",1,"11","1204",29143,"0","1","1","1","0","1","1","1","0","0","1","1"
"132","University of Arkansas",131,"$23,168 ","Fayetteville","AR","72701","www.uark.edu","36.070009","-94.176981","0.632",1,"13","1170",21817,"1","1","1","1","1","1","1","1","1","1","2","1"
"133","University of Mississippi",132,"$22,012 ","University","MS","38677-1848","www.olemiss.edu","34.365529","-89.537434","0.783",1,"33","1155",23372,"0","0","0","1","2","1","1","1","1","1","1","1"
"134","Rutgers University-Newark",133,"$29,480 ","Newark","NJ","07102","www.newark.rutgers.edu/","40.739122","-74.175809","0.6531",1,"11","1005",23299,"0","1","0","1","0","1","1","1","2","2","2","1"
"135","University of Cincinnati-Main Campus",134,"$26,334 ","Cincinnati","OH","45221-0063","www.uc.edu","39.131159","-84.51428","0.7642",1,"11","1164",26683,"1","1","1","1","2","1","1","1","1","1","1","1"
"136","George Mason University",135,"$32,582 ","Fairfax","VA","22030-4444","https://www2.gmu.edu/","38.829976","-77.307428","0.8099",1,"21","1165",24347,"0","1","0","2","1","1","1","1","1","1","1","1"
