"","State","Rank","Name","Tuition.and.fees.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn","CrimeRate","HappyRank","HappyScore"
"76","OH",76,"Miami University-Oxford","$31,592 ","Oxford","45056","miamioh.edu",39.507757,-84.732954,"0.6538","Public","Town","1276",29413,0,1,1,1,1,1,1,1,1,1,1,1,"$31,592 ","45400",284.9,39,46.04
"77","CA",77,"University of California-Santa Cruz","$40,241 ","Santa Cruz","95064-1011","www.ucsc.edu/",36.995584,-122.058801,"0.5785","Public","City","1201",34608,1,1,0,1,1,1,1,1,1,1,1,1,"$40,241 ","42400",396.1,10,59.96
"78","CO",78,"Colorado School of Mines","$34,828 ","Golden","80401","www.mines.edu",39.751443,-105.223364,"0.4035","Public","Suburb","1354",31226,0,0,0,1,0,1,0,1,0,1,0,0,"$34,828 ","80900",309.1,5,61.59
"79","MI",79,"Michigan State University","$39,090 ","East Lansing","48824-1046","https://www.msu.edu",42.73212,-84.476111,"0.6574","Public","City","1194",25809,1,1,1,1,1,1,1,1,1,1,1,1,"$39,090 ","51700",427.3,43,44.17
"80","TX",80,"Texas Christian University","$42,670 ","Fort Worth","76129","www.tcu.edu/",32.709568,-97.361537,"0.3758","Private nonprofit","City","1223",58040,1,1,0,1,1,1,1,1,1,1,1,1,"$42,670 ","51700",405.9,29,52.23
"81","IA",81,"University of Iowa","$28,413 ","Iowa City","52242-1316","www.uiowa.edu",41.661935,-91.536425,"0.8411","Public","City","1165",21010,0,1,0,1,1,1,1,1,1,1,2,1,"$28,413 ","51500",273.5,7,60.92
"82","WI",82,"Marquette University","$38,470 ","Milwaukee","53233","www.marquette.edu",43.03903,-87.927961,"0.8434","Private nonprofit","City","1199",51316,0,1,0,1,1,1,1,1,1,1,1,1,"$38,470 ","59500",290.3,15,57.8
"83","CO",83,"University of Denver","$46,362 ","Denver","80208","www.du.edu",39.678005,-104.963259,"0.5347","Private nonprofit","City","1262",59656,0,2,0,1,0,1,1,1,1,2,2,1,"$46,362 ","53000",309.1,5,61.59
"84","CA",84,"University of San Diego","$46,140 ","San Diego","92110-2492","www.sandiego.edu",32.77142,-117.188721,"0.5138","Private nonprofit","City","1237",61004,0,1,1,1,0,1,1,1,1,1,1,1,"$46,140 ","60400",396.1,10,59.96
"85","OK",85,"University of Tulsa","$38,796 ","Tulsa","74104-3189","https://utulsa.edu",36.152324,-95.945941,"0.3696","Private nonprofit","City","1308",53667,0,1,0,1,1,1,1,1,1,1,1,1,"$38,796 ","50000",406,44,41.36
