"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"3912","Silver Lake College of the Holy Family","Manitowoc","WI","54220-9319","www.sl.edu/","44.071038","-87.742961","0.5489",2,"32","NULL",37326,"0","0","0","1","1","0","1","1","1","0","1","1"
"3913","State College of Beauty Culture Inc","Wausau","WI","54403","www.statecollegeofbeauty.com","44.936911","-89.618062","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3914","Southwest Wisconsin Technical College","Fennimore","WI","53809-9778","https://www.swtc.edu","42.976238","-90.637714","NULL",1,"42","NULL",13753,"0","0","0","0","0","0","0","0","0","0","0","0"
"3915","Bryant & Stratton College-Milwaukee","Milwaukee","WI","53203-2608","www.bryantstratton.edu","43.039176","-87.915286","NULL",3,"11","NULL",21941,"0","0","0","0","0","0","0","0","0","0","1","0"
"3916","University of Wisconsin Colleges","Madison","WI","53708","uwc.edu","43.068214","-89.39859","0.7544",1,"11","970",13038,"0","0","0","0","0","0","0","0","0","0","0","0"
"3917","Viterbo University","La Crosse","WI","54601-8804","www.viterbo.edu","43.803133","-91.244297","0.6254",2,"13","1065",36321,"0","0","0","1","1","0","1","1","1","1","2","1"
"3918","Chippewa Valley Technical College","Eau Claire","WI","54701-6162","www.cvtc.edu","44.794867","-91.505675","NULL",1,"13","NULL",15737,"0","0","0","0","0","0","0","0","0","0","0","0"
"3919","Waukesha County Technical College","Pewaukee","WI","53072-4601","www.wctc.edu","43.071444","-88.256292","NULL",1,"21","NULL",13594,"0","0","0","0","0","0","0","0","0","0","0","0"
"3920","Western Technical College","La Crosse","WI","54601","https://www.westerntc.edu","43.815309","-91.246191","NULL",1,"13","NULL",12976,"0","0","0","0","0","0","0","0","0","0","0","0"
"3921","University of Wisconsin-Whitewater","Whitewater","WI","53190-1790","www.uww.edu","42.835563","-88.742368","0.6935",1,"32","1050",18091,"0","1","0","1","1","0","1","1","1","2","2","1"
"3922","Wisconsin Indianhead Technical College","Shell Lake","WI","54871-8727","www.witc.edu","45.747831","-91.916484","NULL",1,"42","NULL",13815,"0","0","0","0","0","0","0","0","0","0","0","0"
"3923","Wisconsin School of Professional Psychology","Milwaukee","WI","53225-4960","www.wspp.edu","43.10534","-88.026735","NULL",2,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3924","Paul Mitchell the School-Green Bay","De Pere","WI","54115","paulmitchell.edu/greenbay","44.464442","-88.120156","NULL",3,"22","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3925","University of Wisconsin-Eau Claire","Eau Claire","WI","54701","www.uwec.edu","44.798284","-91.501906","0.78",1,"13","1110",19334,"0","0","0","1","1","0","1","1","1","1","2","1"
